hex_code,occurence,R,G,B,percent,Movement,percent_total
#E8E8E8,2406389,232,232,232,46.95,Lyrical-Abstraction,15.06
#A22E2F,2121819,162,46,47,41.4,Lyrical-Abstraction,13.28
#FFFCFA,1742226,255,252,250,43.73,Lyrical-Abstraction,10.9
#212026,1616315,33,32,38,35.54,Lyrical-Abstraction,10.11
#0E0E0E,1578156,14,14,14,35.99,Lyrical-Abstraction,9.88
#F2EDE9,1417258,242,237,233,31.16,Lyrical-Abstraction,8.87
#EAECE9,1414803,234,236,233,32.26,Lyrical-Abstraction,8.85
#EEEACD,1390572,238,234,205,64.69,Lyrical-Abstraction,8.7
#E6D7AC,1149089,230,215,172,62.69,Lyrical-Abstraction,7.19
#2B1F23,1143584,43,31,35,66.5,Lyrical-Abstraction,7.16
